username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
flavea2,"#FREEBRITNEY
she/her",,63,4,994,2018-06-23 17:43:22,2020-07-11 12:52:53,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
iigotomoe,🌟COSPLAY🌟 || 🎃 Team @Pumpkin_Parade || 🇯🇵Japan Dreams: 2011年4月10~23日 • 2016年7月27日~8月17日,ベルリン・ドイツ,348,532,65025,2011-02-26 19:20:06,2020-07-11 12:46:25,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
_squadrat,The flat earth society has members all around the globe. — English language account of the person you might know as @squadrat,"Vienna, Austria",622,173,8361,2015-08-22 05:25:33,2020-07-11 12:44:44,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
punkbln,"skateboard-bhain-://ab*left-green*anifascist*prof: psych-cognition-behaviorism-interacting-training-coaching* liberté, égalité, fraternité",berlin/leipzig,732,893,84851,2014-01-03 20:44:44,2020-07-11 12:41:12,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
DieEinzigeTonks,"queer, neurodivergent
Dr Who, Hufflepuff, Harley Quinn, Technik, Pastelpunk, Kitzekatze
sie/they",,209,77,2561,2017-10-20 10:13:59,2020-07-11 12:40:26,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
BujutheBear,Held im Erdbeerfeld. Cosmoprolet. Linksgrün versifft.,"Hamburg, Deutschland",152,142,41565,2010-02-18 13:31:57,2020-07-11 12:38:18,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
earu_hase,"29+, fem | (ya/manga) bookworm, binge watcher, mid-core gamer, music lover, fangirl | NO FOLLOW 4 FOLLOW",,45,25,37360,2011-02-15 17:46:02,2020-07-11 12:26:28,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
piyopyio,"Psychologin, Feministin, (linke) Linkschleuder",,471,78,9290,2010-09-03 14:01:05,2020-07-11 12:24:55,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Kai_Mauracher,,"Köln, Deutschland",105,116,5650,2015-05-16 11:18:02,2020-07-11 12:23:36,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
GlobalNeckwear,"Our flagship brand is Rivetz of Boston, We design and manufacture collegiate, corporate and traditional neckwear and accessories",Boston MA,77,192,1328,2009-09-29 16:47:36,2020-07-11 12:16:57,0,Virginia + Bow ties= southern style. Another Deckhead 6-in-1 bow tie collaboration for the University of Virginia bookstore. Three half bows can creat six different two ply bow ties @deckheadnc #universityofvirginia #virginiacavaliers #charlottesville #bowties #collegebowties https://t.co/WV7AttT9km,"[{'text': 'universityofvirginia', 'indices': [194, 215]}, {'text': 'virginiacavaliers', 'indices': [216, 234]}, {'text': 'charlottesville', 'indices': [235, 251]}, {'text': 'bowties', 'indices': [252, 260]}, {'text': 'collegebowties', 'indices': [261, 276]}]"
MattAboutMovies,"LGBTQ+ ally
Nazis, cops, racists, bootlickers and apologists will NOT be treated with respect here and I WILL be profane. Cope!
ANTIFA!
#BLM #TLM #fcknzs
he/him",Germany,579,89,9763,2018-03-07 15:50:48,2020-07-11 12:15:01,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Zetthochdrei,"Gamer, studierter Pixelschubser, links grün versifft, Lautern-Fan, Allzweckwaffe. 
Z.Zt in Festanstellung bei der Antifa GmbH Südwest, Propagandaabteilung.",Mainz,261,110,4015,2014-08-05 15:25:43,2020-07-11 12:09:21,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
DerMotzmichel,"""Alles, was nötig ist, damit das Schlechte in der Welt gewinnt, sind genügend gute Menschen, die nichts tun."" Edmund Burke. Satire-Account. Privat hier ...",Geht dich gar nix an ..!,2197,783,79090,2014-11-05 00:15:16,2020-07-11 12:04:23,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Frevilo1,"He/him. Neurodiverse, polyamorous, disabled, white, SJW/Gutmensch. Introvert und trotzdem da, #IchBinAntifa.
Gets lost in metalevels.","München, Bayern",1723,183,13603,2019-03-13 19:38:19,2020-07-11 12:04:22,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Matze1211,"Nazis raus.
#VSabschaffen
Eat the rich.
er|he",,414,125,33221,2012-01-23 12:46:09,2020-07-11 12:04:07,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
stephanpalagan,"Autor bei @telepolis_news, @ndaktuell, @krautreporter, Keyboarder bei @microclocks | Hier privat!",,853,38144,5637,2018-06-11 17:31:41,2020-07-11 12:03:49,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
kersting,"#LoveWhereYouWorkFormHomeForever l 
Comms @Twitter l Old enough to know that Han Solo shot first l Not able to verify you","Dublin, Irland",1466,2063,9383,2013-09-04 22:27:07,2020-07-11 12:02:48,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
avrakehdabra11,"I will create as I speak
BLACK LIVES MATTER",,1329,123,1580,2019-08-28 20:07:36,2020-07-11 11:44:10,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
130704N,I don't even know why I'm on twitter,Ankh-Morpork,1219,301,45323,2015-05-29 20:02:44,2020-07-11 11:22:06,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
jenniferclmn,Army veteran. Golf fan. History buff.  Scorpio.,"Virginia, USA",343,1174,83187,2013-11-27 15:43:31,2020-07-11 11:13:24,0,"*This video attached is WHY #coronavirus #COVID19
continues to spread, in America.
Europe has banned Americans from traveling to their countries. 🌍
ANY surprise?? smh 🇺🇸
#Virginia 
#RVA
#FairfaxCounty 
#Portsmouth 
#VirginiaBeach
#Charlottesville
#Richmond
#Henrico
@CNNnewsroom https://t.co/6sCx3ZPqe4","[{'text': 'coronavirus', 'indices': [28, 40]}, {'text': 'COVID19', 'indices': [41, 49]}, {'text': 'Virginia', 'indices': [170, 179]}, {'text': 'RVA', 'indices': [181, 185]}, {'text': 'FairfaxCounty', 'indices': [186, 200]}, {'text': 'Portsmouth', 'indices': [202, 213]}, {'text': 'VirginiaBeach', 'indices': [215, 229]}, {'text': 'Charlottesville', 'indices': [230, 246]}, {'text': 'Richmond', 'indices': [247, 256]}, {'text': 'Henrico', 'indices': [257, 265]}]"
spiegeltevau,"ABOGADO UCV
Traductor/intérprete alemán/castellano especializado en Derecho del SDI München 
Venezolanischer RA UCV Caracas 
Übersetzer Recht  SDI München",Caracas,2072,241,74824,2009-06-01 19:58:22,2020-07-11 11:03:44,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
milagrosblue,Museologist. Passionate about history and documents. Bird-nest collector /  Museóloga. Apasionada por la historia y los documentos. Coleccionista de nidos.,Florida,3952,3276,29489,2009-05-19 01:09:17,2020-07-11 10:58:27,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
djogrolyo,"Obama/Biden Centrist #Democrat! 💙my pup/LA/-I’m an #IDAddict-Support #LGBT🏳️‍🌈 & Animal 🐾 Rights, & Ending HIV/AIDS Stigma.  #TeamJoe from Day 1!","Madison, WI",15085,15179,52775,2015-01-11 17:00:49,2020-07-11 10:53:38,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
la_natif,"🇺🇸 Has Yet To Live Up To Her 🗽Ideals | 
Keep On Pushin' | Keepin' It Real 💯 |
Feisty RN😷⛑ | RTs ⛔ endorsing | Tweets ... solely IMO",Land of Califia,1539,195,19495,2013-08-31 04:22:47,2020-07-11 10:35:56,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
EKloczko,"Львовян born, herb Ogończyk, Linguist & Philologist. ConLangs Tolkien  🧙. 🇺🇦🇵🇱🇱🇻🇫🇷🇪🇺 
Currently looking for a #literaryagent",Currently in France,454,521,46454,2012-09-11 07:44:10,2020-07-11 10:11:12,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
rocketman528,"Inventor, athlete, author; Solved the problem that led to modern electronics; Sustainable Solar Energy #AI #5G #AR #VR Extra in @KatyPerry's Hot 'n Cold video!","Community of Madrid, Spain",9220,8369,164006,2008-05-18 08:15:28,2020-07-11 09:48:19,2,Double rainbow  (extra faint 2nd arc) and in true #Charlottesville fashion: the pot of gold is at the yoga center? https://t.co/gq0djVMobM,"[{'text': 'Charlottesville', 'indices': [67, 83]}]"
EAFtweets,"I’m an American citizen from Puerto Rico who enjoys creating art, supporting good causes, calling out on evil deeds & changing the world a retweet at a time.",,517,251,34547,2014-01-14 22:21:53,2020-07-11 08:06:16,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Callanite,"In her hips, there's revolution.
Wear a mask. Adopt a stray. Punch a Nazi. VOTE.
Your rep: 1-202-225-3121
I fb as quickly as I can! #Antifa #BlueWave #Resist","United Kingdom, United States, Canada.",5006,1927,39187,2009-07-16 01:15:45,2020-07-11 07:44:34,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
agardenista,,"Trevilians, VA",207,59,2573,2008-10-24 13:45:37,2020-07-11 05:34:56,4,"Yet an unhoused man of color requiring community and medical support was placed in a chokehold on the downtown mall by a #Charlottesville police officer two days ago. 

Their racist system is beyond repair. We need to invest in services that work. #defundcpd https://t.co/oPtptNss62",[]
alovelybae,Likes and retweets are not my personal endorsement of any one Worldview.,The North American Continent ,1018,176,30480,2018-10-08 14:40:04,2020-07-11 03:54:09,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
tinkerfells,"mom to 5 wonderful shih tzus and 3 grown boys, stepmom to 3 grandmom of 7. Equality for all..","Connecticut, USA",4465,3874,96705,2011-06-25 01:12:26,2020-07-11 03:48:56,4,"Donald's ""very fine people."" #Charlottesville https://t.co/VPecSKVEv6 ""Jews will not replace us""","[{'text': 'Charlottesville', 'indices': [46, 62]}]"
jblakeslee1,"Author of Ama Adhe: The Voice That Remembers, the heroic story of a woman's fight to free Tibet, researched Chinese labor camps for nearly a decade.","Florida, USA",1114,668,32151,2010-07-22 15:38:40,2020-07-11 03:42:41,4,"Donald's ""very fine people."" #Charlottesville https://t.co/VPecSKVEv6 ""Jews will not replace us""","[{'text': 'Charlottesville', 'indices': [46, 62]}]"
elmer_a_chile,"I apologize in advance for scowling. Truth lovin’, evidence-based mostly friendly #atheist and former fetus. #FuckTrump #TheResistance #TrumpRussia #science","CA, AL, KY, TN, OH, MO, WY, OR",5001,2819,300298,2013-12-15 19:37:13,2020-07-11 03:42:34,4,"Donald's ""very fine people."" #Charlottesville https://t.co/VPecSKVEv6 ""Jews will not replace us""","[{'text': 'Charlottesville', 'indices': [46, 62]}]"
coton_luver,"Dog 🐕 Foster Mom 
👪 #StopTheBans 🇺🇸 #ProChoice 🙋 #ForThePeople 💕 #Resist 👊 #VoteBlueNoMatterWho 💕 #ClimateChange 🌍  #ERANow ✌ #ProtectOurCare 💥",,9210,17166,375143,2012-04-04 19:45:21,2020-07-11 03:41:35,4,"Donald's ""very fine people."" #Charlottesville https://t.co/VPecSKVEv6 ""Jews will not replace us""","[{'text': 'Charlottesville', 'indices': [29, 45]}]"
coton_luver,"Dog 🐕 Foster Mom 
👪 #StopTheBans 🇺🇸 #ProChoice 🙋 #ForThePeople 💕 #Resist 👊 #VoteBlueNoMatterWho 💕 #ClimateChange 🌍  #ERANow ✌ #ProtectOurCare 💥",,9210,17166,375143,2012-04-04 19:45:21,2020-07-11 03:39:15,2,"#Charlottesville 

 Former KKK wizard David Duke  explains the hate rally ""fulfills the promises of Donald Trump."" https://t.co/Kdp0d9CzX5","[{'text': 'Charlottesville', 'indices': [0, 16]}]"
chiefLB_,Just another bird tweeting. Be back next week.,VA,133,81,10512,2010-02-12 20:42:33,2020-07-11 02:37:47,0,"Double the bow over charlottesvilleva 
.
.
.
.
.
#rainbow #doublerainbow #nature #dronephotography #drone #dji #naturephotography #photography #sky #summer #landscapephotography #landscape #charlottesville #cville… https://t.co/nk2oFAapPP","[{'text': 'rainbow', 'indices': [49, 57]}, {'text': 'doublerainbow', 'indices': [58, 72]}, {'text': 'nature', 'indices': [73, 80]}, {'text': 'dronephotography', 'indices': [81, 98]}, {'text': 'drone', 'indices': [99, 105]}, {'text': 'dji', 'indices': [106, 110]}, {'text': 'naturephotography', 'indices': [111, 129]}, {'text': 'photography', 'indices': [130, 142]}, {'text': 'sky', 'indices': [143, 147]}, {'text': 'summer', 'indices': [148, 155]}, {'text': 'landscapephotography', 'indices': [156, 177]}, {'text': 'landscape', 'indices': [178, 188]}, {'text': 'charlottesville', 'indices': [189, 205]}, {'text': 'cville', 'indices': [206, 213]}]"
kwuss02,yea bish,,356,124,41266,2017-11-24 05:23:16,2020-07-11 02:33:57,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
bobdegroof,"Self taught painter, outlaw printmaker, photographer, totem sculptor, installation maker and certified cop kicker.",Brussels,994,93,9749,2012-11-10 20:17:46,2020-07-11 02:22:54,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
LadySuzanne,Dare to dream....,"New York, New York",4321,4522,24901,2009-04-17 20:12:05,2020-07-11 02:22:33,26,"Competing #publichistory priorities  on display in #Charlottesville: city maintenance staff power washes off the Confederate monument graffiti which read ""1619"" (the year enslaved Africans were first brought to Virginia), while at the slave auction block, someone left flowers. https://t.co/fNOwU0p6jo","[{'text': 'publichistory', 'indices': [30, 44]}, {'text': 'Charlottesville', 'indices': [71, 87]}]"
AntnyWar,Thank you for participating. We need answers to the human condition! Please co-operate with my Querybot. ( #DominicCummings  - Head of Parody and Eugenics).,Twitter,1398,389,3266,2020-04-20 13:21:38,2020-07-11 01:59:09,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
PigskinAnnie,"Engineer, Artist, Sports Fanatic. No lists or DMs please.",Cow Bay,1888,1313,100701,2013-04-26 01:26:55,2020-07-11 01:48:08,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
fahyhallowell,Signal booster #climatechange #climatejustice #gunsense #art #resist Fan of weird twitter.,Maine,12165,11514,178863,2008-12-04 04:00:07,2020-07-11 01:46:10,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
OBTinia,now you've pissed off grandma! I follow back when the limit police allow. ✌🏽,"San Diego, CA",5469,4977,305307,2016-05-30 18:48:54,2020-07-11 01:38:08,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Nikluk,"Vulgar, cheater & fraud, Donald John (John Miller, John Barron, David Dennison)Trump was court-ordered to unblock me on 8/28/18 #WomensMarrch #StopRush consumer",Boston,13233,12184,359376,2009-09-21 15:52:43,2020-07-11 01:36:59,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
ve10ve,"European 🇪🇺🇮🇹 #UnitedStatesOfEurope #EUGreenDeal #Resist VS nationalism, #ActiveMeasures #BTLM #TeamJoe #FBR LANG ITA/ENG. NO Putin/Lega/Mattei. Trans ally.",European Union,8624,7843,216601,2018-11-15 22:06:02,2020-07-11 01:34:52,167,"My ethnographic research with #ProudBoys was approved a few months after #Charlottesville. 

On 11.13.2017 #McInnes tried to shut down my research project.

On 4.16.2018 I successfully persisted against the #ChillingEffect. 

Tonight I was finally able to submit my manuscript. 🤓 https://t.co/mNW5pD58vk","[{'text': 'ProudBoys', 'indices': [46, 56]}, {'text': 'Charlottesville', 'indices': [89, 105]}, {'text': 'McInnes', 'indices': [123, 131]}]"
TheCville29,"An insider's guide to Charlottesville dining. If there were just 29 restaurants in Charlottesville, what would be the ideal 29?","Charlottesville, VA",1277,3562,7517,2012-02-29 19:28:10,2020-07-11 01:21:59,0,"In the Culture of Takeout, just a few seconds of assembly at home yield one of Charlottesville’s favorite dishes. 
Shaved Salad from Oakhart Social. 

#Charlottesville #Cville #Jahnavithemuse https://t.co/AtIGs6jTO7","[{'text': 'Charlottesville', 'indices': [151, 167]}, {'text': 'Cville', 'indices': [168, 175]}, {'text': 'Jahnavithemuse', 'indices': [176, 191]}]"
FearlessAce,"Magician, photographer, teacher.
Married with cats.

Hobbies include: tacos, my ESO cheese pirate fishing guild, and disappointing my parents.","Madison, WI",288,258,3104,2009-04-12 07:31:50,2020-07-11 01:16:10,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
thetimepast,26 he/him | Minion Meister | Leftist Feminist | I like doing voices | I like movies | icons by @projectTiGER_ | header by @MrHallenbeck | cashapp: $thetimepast,United States,525,562,114708,2011-08-24 21:23:18,2020-07-11 01:10:29,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
irinacsapo,Digital & Motion Designer | Webflow Enthusiast | Photographer | Sci-Fi Aficionado | Meme Connoisseur | Web Person | Cinema Lover,United Kingdom,1298,201,1417,2009-10-01 08:59:07,2020-07-11 01:09:36,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
polearmguy,Looking at my bio means I'm your dad now,Trapped under a magazine,693,944,98376,2014-09-04 13:10:55,2020-07-11 01:07:31,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
sorrykb,she/her   Anti-fascist      #RefugeesWelcome,"Los Angeles, CA",1236,636,107358,2011-06-13 03:12:35,2020-07-11 01:06:53,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
Kat4Obama,"“The cynics may be the loudest voices – but I promise you, they will accomplish the least.” – President Barack Obama","Washington State, USA",4711,7929,1096116,2012-06-24 22:40:01,2020-07-11 01:01:53,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
TooncesDaCat,The opinion of this independent minded cat are his own. Parody account. DM me only if you speak the sacred Cat Language.,"Catville, USA",1251,1084,22985,2014-02-06 22:14:54,2020-07-11 00:59:44,0,"Vote. In. November.

Never forget...Let it burn til November.
#RogerStone 
#ChildreninCages 
#RussianBounty 
#impeachment 
#Charlottesville 
#TrumpVirus 
#GOPTaxScam
#GOPPartyOverCountry
#GOPCowards","[{'text': 'RogerStone', 'indices': [62, 73]}, {'text': 'ChildreninCages', 'indices': [75, 91]}, {'text': 'RussianBounty', 'indices': [93, 107]}, {'text': 'impeachment', 'indices': [109, 121]}, {'text': 'Charlottesville', 'indices': [123, 139]}, {'text': 'TrumpVirus', 'indices': [141, 152]}, {'text': 'GOPTaxScam', 'indices': [154, 165]}, {'text': 'GOPPartyOverCountry', 'indices': [166, 186]}, {'text': 'GOPCowards', 'indices': [187, 198]}]"
MattSkudlarek,,"Chattanooga, TN",440,190,1366,2019-12-16 22:54:09,2020-07-11 00:59:36,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
WileyReader,"Copy editor, social media dabbler, researcher, community activist, friend to antifa, aspiring antiracist, church volunteer, #UVA sports fan, wine lover.","Charlottesville, VA",949,456,11579,2010-10-29 16:33:47,2020-07-11 00:53:36,0,"This year the amazing Maupintown Film Festival is virtual, so you don't have to be in the #Charlottesville area. Do yourself a favor and get your pass to watch these films centered on #Black experiences. https://t.co/LkYoCIQNYD","[{'text': 'Charlottesville', 'indices': [90, 106]}, {'text': 'Black', 'indices': [184, 190]}]"
1_OfTheseDaze,Just trying to survive the Plague of 2020.,,202,106,10660,2020-05-01 15:46:34,2020-07-11 00:48:34,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
sd3design,"I am a Concert and Event Photographer. Visual Design: mobile • desktop • print • blues guitarist, and badog.",YOW,849,437,2533,2011-07-19 15:50:15,2020-07-11 00:17:38,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
sm9eb,"Archaeologist specializing in Late Neolithic Sanliurfa, Turkey; D.C. native; foodie; astronomy & gardening buff; guardian of a Wild Turkish Cat!","Charlottesville, Virginia, USA",3146,1318,25339,2012-05-02 03:30:22,2020-07-11 00:07:10,2,Double rainbow  (extra faint 2nd arc) and in true #Charlottesville fashion: the pot of gold is at the yoga center? https://t.co/gq0djVMobM,"[{'text': 'Charlottesville', 'indices': [67, 83]}]"
davidcnswanson,"David Swanson is an author, activist, journalist, and radio host. He is executive director of @WorldBeyondWar and campaign coordinator of @RootsAction",Charlottesville VA,7030,12616,65384,2009-02-01 23:53:23,2020-07-11 00:04:00,0,"#Charlottesville police get caught beating guy up and this is the reform they offer: ""Brackney: City police will more firmly anchor body cameras in wake of arrest video"" https://t.co/bJRzcp9Sfm via @dailyprogress","[{'text': 'Charlottesville', 'indices': [0, 16]}]"
MoctarKane,"News, high-tech, photo & +",,734,1406,20133,2009-06-26 10:07:30,2020-07-10 23:48:04,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
meepsNsheeps,"I like Tabletop RPGs, board games and tweeting about AP games like Critical Role. she/her",,1790,288,3280,2013-03-16 20:39:23,2020-07-10 23:38:57,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
AntarianRani,I believe in aliens. Save the USA—Use only paper ballots!!! Enough of electronic vote switching!  #WeAreSheep,Antar,4988,4302,500129,2011-02-17 01:39:23,2020-07-10 23:38:10,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
obozr,🇺🇦🇬🇧🇪🇺 #FBPE,London,2952,1135,55438,2014-04-13 05:39:20,2020-07-10 23:31:07,199,"I hate my 2 most well-known photos. I hate that I had to take them. I hate that we live in a country where racist and violent events still happen but I vow to continue documenting it, so it cannot be denied. #blacklivesmatter #Charlottesville https://t.co/21xThZb405",[]
erinleeryan,"Doctor of the flying space rocks who sciences data, curser of #Python, prez of Science on Cake Appreciation Society, collector of orchid plants, tweets mine.",The shores of the crab infeste,1107,3321,79034,2009-08-24 01:10:52,2020-07-10 23:25:15,2,Double rainbow  (extra faint 2nd arc) and in true #Charlottesville fashion: the pot of gold is at the yoga center? https://t.co/gq0djVMobM,"[{'text': 'Charlottesville', 'indices': [50, 66]}]"
